date,startup_name,industry,sub_vertical,city,investors,investment_type,amount_usd,year,month
2019-08-01,MyPetrolPump,Retail,Fuel Delivery,Bengaluru,Unknown,Seed,1600000.0,2019.0,8.0
2019-08-01,Alteria Capital,Finance,VC Funds,Mumbai,"Azim Premji, Binny Bansal",Venture,140000000.0,2019.0,8.0
2019-08-01,Pine Labs,Information Technology,Last-mile retail transaction technology,Noida,Pine Labs Pte Ltd,Private Equity,38080000.0,2019.0,8.0
2019-08-12,Meesho,E-Commerce,Social Commerce,Bengaluru,Naspers,Series D,125000000.0,2019.0,8.0
2019-08-13,Cars24,E-Commerce,Car Retail,Gurugram,MS Dhoni,Series D,11000000.0,2019.0,8.0
2019-08-13,Uniphore,Customer Service Platform,Conversational AI,Palo Alto,March Capital Partners,Series C,51000000.0,2019.0,8.0
2019-08-23,Zendrive,Automotive,Road Safety Analytics,San Francisco,XL Innovate,Series B,37000000.0,2019.0,8.0
2019-08-23,Lo! Foods,Consumer Goods,Low carb food for Diabetics,Bengaluru,"Rashmi Daga (founder, FreshMenu), Raveen Sastry (co-founder, Myntra) and Mitesh Shah (finance chief, BookMyShow)",Seed,500000.0,2019.0,8.0
2019-08-23,Tala,FinTech,Digital Lending Platform,Santa Monica,RPS Ventures,Series D,110000000.0,2019.0,8.0
2019-08-22,INDwealth,FinTech,Wealth Management,Gurugram,Tiger Global Management,Venture,15000000.0,2019.0,8.0
2019-08-21,HungerBox,Food and Beverage,B2B Foodtech,Bengaluru,One97 Communications Ltd.,Series C,6590000.0,2019.0,8.0
2019-08-23,AdmitKard,EdTech,University Admissions,Noida,Growth DNA,Seed,1000000.0,2019.0,8.0
2019-08-19,Grofers,E-Commerce,Grocery Delivery,Gurugram,Softbank Vision Fund,Series D+,70000000.0,2019.0,8.0
2019-08-27,Rapido Bike Taxi,Transportation,Bike Taxi,Bengaluru,Westbridge Capital,Series B,3900000000.0,2019.0,8.0
2019-07-02,RenewBuy,Finance,Auto Insurance,Gurugram,"Lok Capital, IIFL Wealth",Series B,19000000.0,2019.0,7.0
2019-07-02,Atlan,Information Technology,Big Data,Singapore,WaterBridge Ventures,Pre-Series A,2500000.0,2019.0,7.0
2019-07-01,WizCounsel,Compliance,Consulting,Delhi,Kapil Dev,Angel,145000.0,2019.0,7.0
2019-07-03,Ola Cabs,Transport,Cabs,Kormangala,"DIG Investment Ab, Deshe Holdings, Samih Toukan and Hussam Khoury",Series J,1000000.0,2019.0,7.0
2019-07-01,Uniphore,Artificial Intelligence,Speech Recognition,Taramani,March Capital Partners,Series C,38080000.0,2019.0,7.0
2019-07-04,Daalchini Technologies,Food and Beverage,Digital Vending Machine,Delhi,Artha Venture,Seed,500000.0,2019.0,7.0
2019-07-10,"""BYJU\\'S""",EdTech,Education,Bengaluru,Qatar Investment Authority,Private Equity,150000000.0,2019.0,7.0
2019-07-11,Moglix,E-Commerce,Industrial Tools and Equipments,Singapore,"Composite Capital Management, Sequoia Capital India, Tiger Global Management",Series D,60000000.0,2019.0,7.0
2019-07-10,Ezyhaul,Tech,Logistics,Singapore,Undisclosed,Series B,16000000.0,2019.0,7.0
2019-07-10,Indus OS,Tech,Smartphone Operating System,Andheri,Ventureast,Series B,5750000.0,2019.0,7.0
2019-07-10,HealthAssure,Health Care,Primary care medical network,Mumbai,Blume Ventures,Series A,2500000.0,2019.0,7.0
2019-07-09,House of Msasaba,Luxury Label,Clothes and Apparel,Mumbai,Binny Bansal,Series A,1000000.0,2019.0,7.0
2019-07-08,Board Infinity,EdTech,Full-stack career platform,Chembur,Multiple Angel Investors,Angel Round,319605.0,2019.0,7.0
2019-06-05,NoBroker,E-Commerce,Real Estate,Bengaluru,General Atlantic,Series C,51000000.0,2019.0,6.0
2019-06-04,Bira91,Food and Beverage,Brewery,Delhi,Anicut Capital,Debt,10000000.0,2019.0,6.0
2019-06-03,FabHotels,E-Commerce,Hospitality,Gurugram,"Goldman Sachs, Accel Partners and Qualcomm",Unknown,4889975.54,2019.0,6.0
2019-06-03,Avail Finance,Finance,FinTech,Bengaluru,Matrix Partners,Series A,9000000.0,2019.0,6.0
2019-06-04,BharatPe,Finance,FinTech,Delhi,Insight Partners,Series B,75000000.0,2019.0,6.0
2019-06-04,Recykal,Waste Management Service,Optimization,Hyderabad,"Triton Investment Advisors, Pidilite Industries director Ajay Parekh",Pre-Series A,26000000.0,2019.0,6.0
2019-06-03,Agara Labs,Deep-Tech,Artificial Intelligence,Bengaluru,Blume Ventures and RTP Global,Pre-Series A,2500000.0,2019.0,6.0
2019-06-06,Sistema.bio,Agriculture,Hybrid Reactor Biodigestor,Nairobi,"Shell Foundation, DILA CAPITAL, Engie RDE Fund, EcoEnterprise Fund, EDFIMC (ElectriFI), Endeavor Catalyst Fund, CoCapital, Triodos, Alpha Mundi, and Lendahand",Unknown,2739034.68,2019.0,6.0
2019-06-06,Chakr Innovation,Energy,Renewable Energy,Delhi,IAN Fund,Series A,26000000.0,2019.0,6.0
2019-06-06,Pratilipi,Digital Media,E-Books,Bengaluru,Qiming Venture Partners,Series B,15109500.0,2019.0,6.0
2019-06-10,Bolo App,Digital Media,Video Platform,Bengaluru,Nexus Venture Partners,Seed,430200.0,2019.0,6.0
2019-06-10,OkCredit,FinTech,Financial Services,Haryana,Tiger Global Management,Series A,15500000.0,2019.0,6.0
